Row.names	PathwayMutatedGenes	BRCAXControl_NumNonMuts	BRCAXControl_NumMuts	BRCAControl_NumNonMuts	BRCAControl_NumMuts	BRCAXControl_MutationRate	BRCAControl_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	;IFNA14(1),IFNA6(1),IL33(1),POLR1C(1),POLR3E(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
KEGG_NON_SMALL_CELL_LUNG_CANCER	;CASP9(1),PIK3R5(1),RASSF1(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
KEGG_PANCREATIC_CANCER	;CASP9(1),PIK3R5(1),TGFB2(1),TGFBR1(2)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
KEGG_RHEUMATOID_ARTHRITIS	;ATP6V1D(1),IL11(1),IL17A(1),TGFB2(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
KEGG_RIBOFLAVIN_METABOLISM	;ACPP(1),ENPP1(1),FLAD1(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	;IFNA14(1),IFNA6(1),IRAK1(1),MAPK13(1),PIK3R5(1),TLR6(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	;ADCY5(1),ADRA2C(1),CACNB3(1),GNAI2(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
REACTOME_NCAM1_INTERACTIONS	;CACNB3(1),COL6A1(1),COL9A3(1),NRTN(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	;CACNB3(1),COL6A1(1),COL9A3(1),NRTN(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
REACTOME_OPIOID_SIGNALLING	;ADCY5(1),GNAI2(1),GNAT3(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
REACTOME_PACKAGING_OF_TELOMERE_ENDS	;HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
REACTOME_PYRIMIDINE_METABOLISM	;DHODH(2),DPYS(1),NT5C1A(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
REACTOME_RNA_POLYMERASE_I_PROMOTER_OPENING	;HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
REACTOME_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	;GPAA1(2),PIGG(1),PLAUR(1)	7	0	6	3	0	0.333333333333	NA	0.15	1.69463709147265	0.0707660999761474
KEGG_TIGHT_JUNCTION	RAB13(1);ACTN3(2),CLDN23(1),GNAI2(1),HCLS1(1),RAB13(1)	6	1	4	5	0.142857142857	0.555555555556	6.57383296763517	0.120629370629371	1.69156012644412	0.0707699390075783
KEGG_TOXOPLASMOSIS	CASP3(1);CASP3(1),CASP9(1),GNAI2(1),IRAK1(1),MAPK13(1),PIK3R5(1),PLA2G12B(1),TGFB2(1)	6	1	4	5	0.142857142857	0.555555555556	6.57383296763517	0.120629370629371	1.69156012644412	0.0707699390075783
KEGG_TUBERCULOSIS	CASP3(1),CORO1A(1);CASP3(1),CASP9(1),IFNA14(1),IFNA6(1),IRAK1(1),KSR1(1),MAPK13(1),TGFB2(1),TLR6(1)	6	1	4	5	0.142857142857	0.555555555556	6.57383296763517	0.120629370629371	1.69156012644412	0.0707699390075783
REACTOME_RNA_POLYMERASE_I_III_AND_MITOCHONDRIAL_TRANSCRIPTION	GTF3A(1),POLR1A(1);ERCC3(1),HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1),POLR1C(1),POLR3E(1)	6	1	4	5	0.142857142857	0.555555555556	6.57383296763517	0.120629370629371	1.69156012644412	0.0707699390075783
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	PTK2B(1),RAPGEF4(1),ROCK2(1);ACTN3(2),CLDN23(1),GNAI2(1),MAPK13(1),NCF2(2),PIK3R5(1),TXK(1)	5	2	3	6	0.285714285714	0.666666666667	4.47368223454136	0.157342657342657	1.51185789203691	0.0844036007300135
REACTOME_FORMATION_OF_PLATELET_PLUG	GP1BA(1),RAPGEF4(1),TLN1(1);ADRA2C(1),DGKD(1),GNAI2(1),HGF(1),PDGFB(1),PIK3R5(1),TGFB2(1)	5	2	3	6	0.285714285714	0.666666666667	4.47368223454136	0.157342657342657	1.51185789203691	0.0844036007300135
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	CCR8(1),GALR1(1),OPRL1(1);ADCY5(1),ADRA2C(1),ANXA1(1),CNR1(1),GALR1(1),GALR3(1),GNAI2(1),LPAR3(1),PYY(1),S1PR2(1),S1PR3(1),SSTR5(1)	5	2	3	6	0.285714285714	0.666666666667	4.47368223454136	0.157342657342657	1.51185789203691	0.0844036007300135
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	AVPR1B(1),CCKAR(1),CCR8(1),GALR1(1),OPRL1(1);AGTR1(1),ANXA1(1),AVPR1B(1),GALR1(1),GALR3(1),MLNR(2),PYY(1),SSTR5(1),TACR3(1),UTS2R(1)	5	2	3	6	0.285714285714	0.666666666667	4.47368223454136	0.157342657342657	1.51185789203691	0.0844036007300135
BIOCARTA_CELL2CELL_PATHWAY	;ACTN3(2)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
BIOCARTA_CYTOKINE_PATHWAY	;IL16(1),IL17A(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
BIOCARTA_ERYTH_PATHWAY	;IL11(1),TGFB2(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
BIOCARTA_FMLP_PATHWAY	;NCF2(2)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
BIOCARTA_GSK3_PATHWAY	;FZD1(1),IRAK1(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
BIOCARTA_INFLAM_PATHWAY	;IL11(1),TGFB2(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
BIOCARTA_NTHI_PATHWAY	;TGFBR1(2)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_ARACHIDONIC_ACID_METABOLISM	;CYP2U1(1),PLA2G12B(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS	;HCLS1(1),PIK3R5(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	;CD22(1),PIK3R5(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_ENDOMETRIAL_CANCER	;CASP9(1),PIK3R5(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_LONG_TERM_DEPRESSION	;GNAI2(1),PLA2G12B(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_MELANOGENESIS	;ADCY5(1),FZD1(1),GNAI2(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	;IRAK1(1),MAPK13(1),PIK3R5(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	;ENPP1(1),NT5C1A(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	;DPYS(1),ENPP1(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_REGULATION_OF_AUTOPHAGY	;IFNA14(1),IFNA6(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_STAPHYLOCOCCUS_AUREUS_INFECTION	;CFI(1),PTAFR(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	;MAPK13(1),PIK3R5(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_CELL_CELL_ADHESION_SYSTEMS	;CADM1(1),CLDN23(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	;RIMS1(1),SYN2(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	;ORC6(1),POLA2(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	;SLC2A3(1),SLC2A5(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	;ADCY5(1),GNAI2(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_G_PROTEIN_ACTIVATION	;GNAI2(1),GNAT3(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	;ENPP1(1),FLAD1(1),SLC2A3(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	;RIMS1(1),SYN2(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_PEROXISOMAL_LIPID_METABOLISM	;ABCD1(1),HACL1(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_PLATELET_ACTIVATION_TRIGGERS	;GNAI2(1),PIK3R5(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_PYRIMIDINE_CATABOLISM	;DPYS(1),NT5C1A(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	;RIMS1(1),SYN2(1)	7	0	7	2	0	0.222222222222	NA	0.3	1.33333333333333	0.131494722933968
BIOCARTA_ALK_PATHWAY	SMAD6(1),TGFBR3(1);CHRD(1),FZD1(1),TGFB2(1),TGFBR1(2)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
BIOCARTA_ARAP_PATHWAY	KDELR3(1);CYTH2(1),CYTH4(1),GPLD1(2)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
KEGG_AMOEBIASIS	CASP3(1);ACTN3(2),CASP3(1),PIK3R5(1),TGFB2(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
KEGG_HEPATITIS_C	TRAF2(1);CLDN23(1),IFNA14(1),IFNA6(1),MAPK13(1),PIK3R5(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
KEGG_OXIDATIVE_PHOSPHORYLATION	UQCRC1(1);ATP6V1D(1),COX4I2(1),COX6A2(1),NDUFA1(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	CDC27(1);ADCY5(1),GNAI2(1),MAPK13(1),PIK3R5(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
KEGG_RIBOSOME_BIOGENESIS_IN_EUKARYOTES	EIF6(1),RIOK1(1);DROSHA(1),EIF6(1),NXF1(1),RPP38(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
REACTOME_METABLISM_OF_NUCLEOTIDES	GMPS(1);DHODH(2),DPYS(1),NT5C1A(1),RRM1(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
REACTOME_METABOLISM_OF_CARBOHYDRATES	NUP93(1),PGM2(1);ENO1(1),LCT(1),PRPS1L1(1),SLC2A3(1),SLC2A5(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
REACTOME_RNA_POLYMERASE_I_PROMOTER_CLEARANCE	POLR1A(1);ERCC3(1),HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1),POLR1C(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
REACTOME_TELOMERE_MAINTENANCE	POLE2(1);HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1),POLA2(1)	6	1	5	4	0.142857142857	0.444444444444	4.35788809907077	0.230769230769231	1.29110621830865	0.150683300700579
KEGG_ALZHEIMERS_DISEASE	ATF6(1),CASP3(1),UQCRC1(1);APBB1(1),ATF6(1),CASP3(1),CASP9(1),COX4I2(1),COX6A2(1),NDUFA1(1)	5	2	4	5	0.285714285714	0.555555555556	2.90270700900807	0.285839160839161	1.07936507936508	0.214609291289225
KEGG_LYSINE_DEGRADATION	HADHA(1),MLL4(1);BBOX1(1),GLT25D1(1),HADHA(2),PLOD2(1)	5	2	4	5	0.285714285714	0.555555555556	2.90270700900807	0.285839160839161	1.07936507936508	0.214609291289225
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	ADRA1B(1),AVPR1B(1),ROCK2(1);ADCY5(1),AGTR1(1),AVPR1B(1),KCNU1(1),NPR2(1),PLA2G12B(1)	5	2	4	5	0.285714285714	0.555555555556	2.90270700900807	0.285839160839161	1.07936507936508	0.214609291289225
REACTOME_PLATELET_ACTIVATION	GP1BA(1),TLN1(1);DGKD(1),GNAI2(1),HGF(1),PDGFB(1),PIK3R5(1),TGFB2(1)	5	2	4	5	0.285714285714	0.555555555556	2.90270700900807	0.285839160839161	1.07936507936508	0.214609291289225
REACTOME_TRANSCRIPTION	CLP1(1),GTF2E2(1),GTF3A(1),POLR1A(1);ERCC3(1),HIST1H2BO(1),HIST2H2AC(1),HIST2H2BE(1),PABPN1(1),POLR1C(1),POLR3E(1)	4	3	3	6	0.428571428571	0.666666666667	2.50098711106808	0.328671328671329	0.952380952380952	0.21465574121704
BIOCARTA_ACE2_PATHWAY	;AGTR1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_AKAP13_PATHWAY	;LPAR3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_AKT_PATHWAY	;CASP9(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_CARDIACEGF_PATHWAY	;AGTR1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_DREAM_PATHWAY	;CREM(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_EPONFKB_PATHWAY	;ARNT(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_ERK5_PATHWAY	;MEF2D(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_G1_PATHWAY	;TGFB2(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_GCR_PATHWAY	;ANXA1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_GLYCOLYSIS_PATHWAY	;ENO1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_IL17_PATHWAY	;IL17A(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_IL4_PATHWAY	;STAT6(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_MCM_PATHWAY	;ORC6(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_MEF2D_PATHWAY	;MEF2D(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_NFKB_PATHWAY	;IRAK1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_NKT_PATHWAY	;TGFB2(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_PGC1A_PATHWAY	;MEF2D(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_PS1_PATHWAY	;FZD1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_RARRXR_PATHWAY	;ERCC3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_RAS_PATHWAY	;CASP9(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_STATHMIN_PATHWAY	;MAPK13(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_STEM_PATHWAY	;IL11(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_TFF_PATHWAY	;CASP9(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_TH1TH2_PATHWAY	;IL2RA(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_TID_PATHWAY	;USH1C(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_VEGF_PATHWAY	;ARNT(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_VITCB_PATHWAY	;SLC2A3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
BIOCARTA_WNT_PATHWAY	;FZD1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_ABC_TRANSPORTERS	;ABCD1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	;PLA2G12B(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	;CTSB(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_BASAL_CELL_CARCINOMA	;FZD1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_BIOTIN_METABOLISM	;BTD(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_ETHER_LIPID_METABOLISM	;PLA2G12B(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	;HYAL3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_LINOLEIC_ACID_METABOLISM	;PLA2G12B(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_PHOTOTRANSDUCTION	;GNAT3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_RENIN_ANGIOTENSIN_SYSTEM	;AGTR1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_RIBOSOME	;RPS3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_SELENOCOMPOUND_METABOLISM	;CTH(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_SULFUR_METABOLISM	;SULT1A2(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_TYPE_II_DIABETES_MELLITUS	;PIK3R5(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
KEGG_VITAMIN_DIGESTION_AND_ABSORPTION	;BTD(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	;RIMS1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	;GRIK3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	;ADCY5(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	;CADM1(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	;GNAI2(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	;CCT3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_CAM_PATHWAY	;ADCY5(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	;ORC6(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_CHAPERONIN_MEDIATED_PROTEIN_FOLDING	;CCT3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_COLLAGEN_MEDIATED_ACTIVATION_CASCADE	;PIK3R5(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	;SULT1A2(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_DEPOLARIZATION_OF_THE_PRESYNAPTIC_TERMINAL_TRIGGERS_THE_OPENING_OF_CALCIUM_CHANNELS	;CACNB3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_DNA_STRAND_ELONGATION	;POLA2(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_DUAL_INCISION_REACTION_IN_GG_NER	;ERCC3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_DUAL_INCISION_REACTION_IN_TC_NER	;ERCC3(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	;ORC6(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	;DGKD(1)	7	0	8	1	0	0.111111111111	NA	0.5625	0.910840068085298	0.297723757664815
