Row.names	PathwayMutatedGenes	BRCAControl_NumNonMuts	BRCAControl_NumMuts	BRCACancer_NumNonMuts	BRCACancer_NumMuts	BRCAControl_MutationRate	BRCACancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION	;C1QB(1),C1R(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_COMPLEMENT_CASCADE	;C1QB(1),C1R(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	;CCNE1(1),CDC25A(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_E2F_TRANSCRIPTIONAL_TARGETS_AT_G1_S	;CCNE1(1),CDC25A(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_G2_M_TRANSITION	;CDC25A(1),TSGA14(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	;FGB(1),TLN1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	;C1QB(1),C1R(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_INTEGRIN_ALPHAIIBBETA3_SIGNALING	;FGB(1),TLN1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	;FGB(1),TLN1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	;NFKB1(1),PSEN2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	;RRAS(1),TLN1(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	;ERBB2(1),RRAS(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
SIG_CHEMOTAXIS	;ITPR1(1),ITPR2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	;ITPR1(1),ITPR2(1),SYK(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
ST_ADRENERGIC	;ITPR1(1),ITPR2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
ST_GA12_PATHWAY	;MYEF2(1),PLD3(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
ST_G_ALPHA_I_PATHWAY	;ITPR1(1),ITPR2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
ST_JNK_MAPK_PATHWAY	;MAP3K9(1),MYEF2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
ST_MYOCYTE_AD_PATHWAY	;CAV3(1),ITPR1(1),ITPR2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	;ITPR1(1),ITPR2(1)	9	0	6	2	0	0.25	NA	0.205882352941177	1.59687194226713	0.0886554633189107
REACTOME_DIABETES_PATHWAYS	ADCY5(1),ADRA2C(1),ATF6(1),CACNB3(1),ENO1(1),GNAI2(1),NDUFA1(1),RPS3(1),SRP14(2);ADCY5(1),ADRA2C(4),BCHE(1),CACNB3(1),ENO1(1),GAPDHS(1),ITPR1(1),ITPR2(1),NDUFA1(1),NDUFB8(1),PDX1(2),PFKFB1(1),RPL35A(1),SRP14(1),SUCLG1(1)	4	5	1	7	0.555555555556	0.875	5.05874989753748	0.183257918552036	1.44281425102574	0.0932814839744173
REACTOME_GPCR_LIGAND_BINDING	ADRA2C(1),AGTR1(1),ANXA1(1),AVPR1B(1),CNR1(1),FZD1(1),GALR1(1),GALR3(1),LPAR3(1),MLNR(2),PTAFR(1),PYY(1),S1PR2(1),S1PR3(1),SSTR5(1),TACR3(1),UTS2R(1);ADRA2C(4),AGTR1(1),CCL25(1),CCR6(1),CHRM5(1),F2R(1),FZD1(1),FZD7(1),GRM2(1),GRM7(1),MC2R(1),OPRL1(1),PROKR2(1),QRFPR(1),RLN3(2)	2	7	0	8	0.777777777778	1	NA	0.264705882352941	1.41944172645967	0.125045304059039
REACTOME_HEMOSTASIS	ADRA2C(1),CD47(1),DGKD(1),GNAI2(1),HGF(1),MERTK(1),PDGFB(1),PIK3R5(1),PLAUR(1),TGFB2(1);ADRA2C(4),COL1A2(1),F2R(1),FGB(1),ITGA3(1),ITPR1(1),ITPR2(1),L1CAM(1),PRKCZ(1),SERPINB2(1),SIRPA(1),SLC7A6(1),SPARC(1),SYK(1),TLN1(1)	2	7	0	8	0.777777777778	1	NA	0.264705882352941	1.41944172645967	0.125045304059039
BIOCARTA_CARDIACEGF_PATHWAY	AGTR1(1);ADAM12(1),AGTR1(1),NFKB1(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
BIOCARTA_TID_PATHWAY	USH1C(1);JAK2(1),NFKB1(1),USH1C(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
BIOCARTA_TPO_PATHWAY	RASA1(1);JAK2(1),MPL(2)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
KEGG_ERBB_SIGNALING_PATHWAY	PIK3R5(1);ARAF(1),ERBB2(1),NRG3(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
KEGG_INSULIN_SIGNALING_PATHWAY	PIK3R5(1);ARAF(1),CALML5(1),PRKCZ(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
KEGG_MINERAL_ABSORPTION	CLCN2(1);ATP2B1(1),CLCN2(2)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
KEGG_NOTCH_SIGNALING_PATHWAY	PTCRA(1);DVL3(1),MFNG(1),PSEN2(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
KEGG_PYRUVATE_METABOLISM	ACOT12(1);ACOT12(1),ALDH3A2(1),PDHA2(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
KEGG_TYPE_II_DIABETES_MELLITUS	PIK3R5(1);PDX1(2),PRKCZ(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_COLLAGEN_MEDIATED_ACTIVATION_CASCADE	PIK3R5(1);COL1A2(1),PRKCZ(1),SYK(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_GLUCONEOGENESIS	ENO1(1);ENO1(1),GAPDHS(1),PFKFB1(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_GLUCOSE_METABOLISM	ENO1(1);ENO1(1),GAPDHS(1),PFKFB1(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_GLYCOLYSIS	ENO1(1);ENO1(1),GAPDHS(1),PFKFB1(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	ERCC3(1);SUPT4H1(1),TAF1(1),TAF11(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_PLC_BETA_MEDIATED_EVENTS	ADCY5(1);ADCY5(1),ITPR1(1),ITPR2(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_PLC_GAMMA1_SIGNALLING	ADCY5(1);ADCY5(1),ITPR1(1),ITPR2(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	ROBO1(1);PFN2(1),ROBO1(2)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL	PIGG(1);PIGF(1),PIGL(1),PIGM(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_THE_ANTIVIRAL_CYTOKINE_IFN_ALPHA_BETA_CASCADE	DUSP7(1);NFKB1(1),NFKB2(1),TLR3(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	ERCC3(1);SUPT4H1(1),TAF1(1),TAF11(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	CASP3(1);BAG4(1),NFKB1(1),NFKB2(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
WNT_SIGNALING	FZD1(1);FZD1(1),FZD7(1),LRP6(1),SFRP4(1)	8	1	5	3	0.111111111111	0.375	4.36790263081859	0.241176470588235	1.28029527176585	0.131974471137124
REACTOME_AXON_GUIDANCE	CACNB3(1),COL6A1(1),COL9A3(1),NRTN(1),ROBO1(1);CACNB3(1),COL1A2(1),ERBB2(1),PFN2(1),ROBO1(2),RRAS(1),SEMA5A(1),TLN1(1)	5	4	2	6	0.444444444444	0.75	3.45525051000939	0.217811600164542	1.27770876280148	0.132114128838294
KEGG_CHEMOKINE_SIGNALING_PATHWAY	ADCY5(1),GNAI2(1),PIK3R5(1);ADCY5(1),CCL25(1),CCR6(1),JAK2(1),NFKB1(1),PRKCZ(1)	6	3	3	5	0.333333333333	0.625	3.09147535032349	0.237967914438503	1.20257247413848	0.149065516921707
KEGG_LYSOSOME	CTSB(1),NPC2(2);AP3D1(1),CD164(1),CTSF(1),GBA(1),MFSD8(1),NPC2(2)	6	3	3	5	0.333333333333	0.625	3.09147535032349	0.237967914438503	1.20257247413848	0.149065516921707
KEGG_MEASLES	IFNA14(1),IFNA6(1),IL2RA(1),IRAK1(1),PIK3R5(1);CCNE1(1),IFNAR1(1),IL2RA(1),IRF3(1),JAK2(1),NFKB1(1),RCHY1(1)	6	3	3	5	0.333333333333	0.625	3.09147535032349	0.237967914438503	1.20257247413848	0.149065516921707
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	DGKD(1),INPP4A(1),PI4K2A(1),PIK3R5(1);CALML5(1),INPP5E(1),ITPR1(1),ITPR2(1),PI4K2B(1)	6	3	3	5	0.333333333333	0.625	3.09147535032349	0.237967914438503	1.20257247413848	0.149065516921707
REACTOME_FORMATION_AND_MATURATION_OF_MRNA_TRANSCRIPT	ERCC3(1),HNRNPA2B1(1),PABPN1(1);CLP1(1),PABPN1(1),SUPT4H1(1),TAF1(1),TAF11(1)	6	3	3	5	0.333333333333	0.625	3.09147535032349	0.237967914438503	1.20257247413848	0.149065516921707
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	ADCY5(1),ADRA2C(1),CACNB3(1),GNAI2(1);ADCY5(1),ADRA2C(4),CACNB3(1)	6	3	3	5	0.333333333333	0.625	3.09147535032349	0.237967914438503	1.20257247413848	0.149065516921707
REACTOME_INNATE_IMMUNITY_SIGNALING	DUSP7(1),IRAK1(1),TLR10(1),TLR6(1);C1QB(1),C1R(1),IRF3(1),NFKB1(1),NFKB2(1),TLR3(1)	6	3	3	5	0.333333333333	0.625	3.09147535032349	0.237967914438503	1.20257247413848	0.149065516921707
KEGG_GASTRIC_ACID_SECRETION	ADCY5(1),GNAI2(1);ADCY5(1),CALML5(1),ITPR1(1),ITPR2(1)	7	2	4	4	0.222222222222	0.5	3.23725028560454	0.246606334841629	1.19623427094212	0.173564261135395
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	CACNB3(1),ITGA7(1),SGCA(1),TGFB2(1);CACNB3(1),ITGA3(1),ITGA7(1),MYL2(1)	7	2	4	4	0.222222222222	0.5	3.23725028560454	0.246606334841629	1.19623427094212	0.173564261135395
KEGG_LONG_TERM_DEPRESSION	GNAI2(1),PLA2G12B(1);ARAF(1),ITPR1(1),ITPR2(1),PLA2G2D(1)	7	2	4	4	0.222222222222	0.5	3.23725028560454	0.246606334841629	1.19623427094212	0.173564261135395
KEGG_MELANOGENESIS	ADCY5(1),FZD1(1),GNAI2(1);ADCY5(1),CALML5(1),CREB3L4(1),DVL3(1),FZD1(1),FZD7(1)	7	2	4	4	0.222222222222	0.5	3.23725028560454	0.246606334841629	1.19623427094212	0.173564261135395
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	CASP3(1),IFNA14(1),IFNA6(1),PIK3R5(1);ARAF(1),IFNAR1(1),SYK(1),ULBP3(1)	7	2	4	4	0.222222222222	0.5	3.23725028560454	0.246606334841629	1.19623427094212	0.173564261135395
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	CD47(1),MERTK(1);COL1A2(1),ITGA3(1),L1CAM(1),SIRPA(1),SLC7A6(1)	7	2	4	4	0.222222222222	0.5	3.23725028560454	0.246606334841629	1.19623427094212	0.173564261135395
BIOCARTA_41BB_PATHWAY	;NFKB1(1)	9	0	7	1	0	0.125	NA	0.470588235294117	1.09330348028349	0.238414094293157
BIOCARTA_AMI_PATHWAY	;F2R(1),FGB(1)	9	0	7	1	0	0.125	NA	0.470588235294117	1.09330348028349	0.238414094293157
BIOCARTA_ATM_PATHWAY	;NFKB1(1)	9	0	7	1	0	0.125	NA	0.470588235294117	1.09330348028349	0.238414094293157
BIOCARTA_BCR_PATHWAY	;SYK(1)	9	0	7	1	0	0.125	NA	0.470588235294117	1.09330348028349	0.238414094293157
BIOCARTA_CBL_PATHWAY	;PDGFRA(1)	9	0	7	1	0	0.125	NA	0.470588235294117	1.09330348028349	0.238414094293157
BIOCARTA_CCR3_PATHWAY	;MYL2(1)	9	0	7	1	0	0.125	NA	0.470588235294117	1.09330348028349	0.238414094293157
BIOCARTA_CD40_PATHWAY	;NFKB1(1)	9	0	7	1	0	0.125	NA	0.470588235294117	1.09330348028349	0.238414094293157
