Row.names	PathwayMutatedGenes	BRCA12Cancer_NumNonMuts	BRCA12Cancer_NumMuts	BRCAXCancer_NumNonMuts	BRCAXCancer_NumMuts	BRCA12Cancer_MutationRate	BRCAXCancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
REACTOME_CELL_CYCLE_MITOTIC	CCNE1(1),CDC25A(1),POLA2(1),RPA1(1),TSGA14(1);BUB1B(2),CENPI(1),CLIP1(1),DCTN3(1),DNA2(1),POLE2(1),RPA4(3)	5	3	2	9	0.375	0.818181818182	6.6105066834864	0.0673969992855442	1.9772447378225	0.0419638354408196
BIOCARTA_D4GDI_PATHWAY	;PARP1(1),PRF1(3)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
BIOCARTA_EIF4_PATHWAY	;EIF4G3(1),MTOR(1),PIK3CA(2)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
BIOCARTA_MTOR_PATHWAY	;EIF3A(1),EIF4G3(1),MTOR(1),PIK3CA(2)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
KEGG_MTOR_SIGNALING_PATHWAY	;MTOR(1),PIK3CA(2),PIK3R5(1),RPTOR(2)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
KEGG_RHEUMATOID_ARTHRITIS	;ATP6V1E2(1),ATP6V1H(1),MMP3(1),TGFB2(1)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
REACTOME_CD28_CO_STIMULATION	;MTOR(1),PIK3CA(2),YES1(1)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS	;ARHGEF12(1),MCF2(1),PIK3CA(2)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	;ATP6V1H(1),CCNT1(2),NUP155(1)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	;ECI1(1),HADHA(3)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
REACTOME_MITOTIC_M_M_G1_PHASES	;BUB1B(2),CENPI(1),CLIP1(1)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
REACTOME_MITOTIC_PROMETAPHASE	;BUB1B(2),CENPI(1),CLIP1(1)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	;GRIP2(1),MDM2(3)	8	0	7	4	0	0.363636363636	NA	0.085139318885449	1.91959591707434	0.0419668437036641
BIOCARTA_MAPK_PATHWAY	ARAF(1),MAP3K9(1),NFKB1(1);MAP3K9(1),TGFB2(1),TGFBR1(3),TRAF2(3)	6	2	4	7	0.25	0.636363636364	4.77262127565397	0.114908311502739	1.6653024719949	0.0655538886757691
KEGG_INOSITOL_PHOSPHATE_METABOLISM	INPP5E(1),PI4K2B(1);ALDH6A1(2),INPP5A(3),IPPK(1),PIK3CA(2)	6	2	4	7	0.25	0.636363636364	4.77262127565397	0.114908311502739	1.6653024719949	0.0655538886757691
KEGG_PHAGOSOME	C1R(1),DYNC1LI1(1),RILP(1),TFRC(1);ATP6V1E2(1),ATP6V1H(1),CANX(1),HGS(1),LAMP2(1),NCF2(2),SCARB1(2),TUBAL3(2)	6	2	4	7	0.25	0.636363636364	4.77262127565397	0.114908311502739	1.6653024719949	0.0655538886757691
KEGG_PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM	DNAJC10(1),UFD1L(1);CANX(1),CAPN1(1),CRYAA(1),DNAJB12(1),PRKCSH(1),TRAF2(3),TUSC3(1)	6	2	4	7	0.25	0.636363636364	4.77262127565397	0.114908311502739	1.6653024719949	0.0655538886757691
KEGG_PYRIMIDINE_METABOLISM	NT5C1A(1),POLA2(1),POLR3GL(1);CTPS2(1),ENTPD4(1),ENTPD6(1),NME7(1),NT5C2(1),NT5C3(2),NT5M(1),POLE2(1)	6	2	4	7	0.25	0.636363636364	4.77262127565397	0.114908311502739	1.6653024719949	0.0655538886757691
BIOCARTA_ATRBRCA_PATHWAY	;HUS1(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
BIOCARTA_BCELLSURVIVAL_PATHWAY	;MTOR(1),PIK3CA(2)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
BIOCARTA_CTL_PATHWAY	;PRF1(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
BIOCARTA_IGF1MTOR_PATHWAY	;IGF1R(1),MTOR(1),PIK3CA(2)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
BIOCARTA_INSULIN_PATHWAY	;PIK3CA(2),SLC2A4(1)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
BIOCARTA_MET_PATHWAY	;PIK3CA(2),PTK2B(1)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
BIOCARTA_PPARA_PATHWAY	;CITED2(1),PIK3CA(2)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
KEGG_FATTY_ACID_ELONGATION_IN_MITOCHONDRIA	;HADHA(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
KEGG_GRAFT_VERSUS_HOST_DISEASE	;PRF1(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
KEGG_TYPE_I_DIABETES_MELLITUS	;PRF1(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	;MDM2(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	;MTOR(1),PIK3CA(2)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
REACTOME_DEATH_RECEPTOR_SIGNALLING	;TRAF2(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	;SLC2A11(1),SLC2A3(1),SLC2A4(1)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
REACTOME_STABILIZATION_OF_P53	;MDM2(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
SA_G1_AND_S_PHASES	;MDM2(3)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
SA_PTEN_PATHWAY	;ILK(1),PIK3CA(2),PTK2B(1)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	;PIK3CA(2),SLC2A4(1)	8	0	8	3	0	0.272727272727	NA	0.170278637770898	1.60963010996598	0.0687197775804975
KEGG_GLIOMA	ARAF(1),CALML5(1),PDGFRA(1);IGF1R(1),MDM2(3),MTOR(1),PIK3CA(2),PIK3R5(1),SHC2(1)	5	3	3	8	0.375	0.727272727273	4.07441713323573	0.143804080336588	1.53552121874728	0.0772009302908119
BIOCARTA_CASPASE_PATHWAY	DFFB(1);LMNB1(1),PARP1(1),PRF1(3)	7	1	6	5	0.125	0.454545454545	5.33087440668156	0.153250773993808	1.52575977481479	0.0887532379060634
BIOCARTA_GH_PATHWAY	JAK2(1);HNF1A(1),PIK3CA(2),PTPN6(1),SLC2A4(1)	7	1	6	5	0.125	0.454545454545	5.33087440668156	0.153250773993808	1.52575977481479	0.0887532379060634
KEGG_ARACHIDONIC_ACID_METABOLISM	PLA2G2D(1);AKR1C3(1),HPGDS(2),PLA2G6(1),TBXAS1(1)	7	1	6	5	0.125	0.454545454545	5.33087440668156	0.153250773993808	1.52575977481479	0.0887532379060634
KEGG_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS	CAV3(1);ILK(1),PIK3CA(2),PIK3R5(1),SHC2(1),WASF1(1)	7	1	6	5	0.125	0.454545454545	5.33087440668156	0.153250773993808	1.52575977481479	0.0887532379060634
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	SYK(1);PIK3CA(2),PIK3R5(1),PLA2G6(1),SPHK1(1),WASF1(1)	7	1	6	5	0.125	0.454545454545	5.33087440668156	0.153250773993808	1.52575977481479	0.0887532379060634
KEGG_VEGF_SIGNALING_PATHWAY	PLA2G2D(1);PIK3CA(2),PIK3R5(1),PLA2G6(1),SHC2(1),SPHK1(1)	7	1	6	5	0.125	0.454545454545	5.33087440668156	0.153250773993808	1.52575977481479	0.0887532379060634
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	PSEN2(1);ARHGEF12(1),MCF2(1),PSEN2(3)	7	1	6	5	0.125	0.454545454545	5.33087440668156	0.153250773993808	1.52575977481479	0.0887532379060634
REACTOME_INFLUENZA_LIFE_CYCLE	RPL35A(1);CANX(1),NUP155(1),RPL7(2),RPS16(1)	7	1	6	5	0.125	0.454545454545	5.33087440668156	0.153250773993808	1.52575977481479	0.0887532379060634
REACTOME_METABOLISM_OF_PROTEINS	FBXW10(1),LONP2(1),PIGF(1),PIGL(1),PIGM(1),RPL35A(1);CCT3(1),EIF3A(1),FBXW5(1),FBXW9(1),KIF13A(1),PIGG(1),PIGW(1),PROC(1),PROZ(1),RPL7(2),RPS16(1),SPHK1(1)	4	4	2	9	0.5	0.818181818182	4.12333373655912	0.165634674922601	1.4731473687867	0.113876161964688
BIOCARTA_TGFB_PATHWAY	SMAD7(1),TGFBR2(1);SMAD7(2),TGFB2(1),TGFBR1(3)	6	2	5	6	0.25	0.545454545455	3.35770600578857	0.20826387235056	1.28785650604611	0.118595199714847
KEGG_CELL_CYCLE	CCNE1(1),CDC25A(1);BUB1B(2),MDM2(3),TGFB2(1)	6	2	5	6	0.25	0.545454545455	3.35770600578857	0.20826387235056	1.28785650604611	0.118595199714847
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	MYL2(1),SIPA1(1);CLDN23(2),ITGA4(2),NCF2(2),PIK3CA(2),PIK3R5(1),PTK2B(1)	6	2	5	6	0.25	0.545454545455	3.35770600578857	0.20826387235056	1.28785650604611	0.118595199714847
KEGG_SMALL_CELL_LUNG_CANCER	CCNE1(1),ITGA3(1),NFKB1(1);PIK3CA(2),PIK3R5(1),TRAF2(3)	6	2	5	6	0.25	0.545454545455	3.35770600578857	0.20826387235056	1.28785650604611	0.118595199714847
REACTOME_METABOLISM_OF_AMINO_ACIDS	MCCC1(1),SLC7A6(1);ADC(1),ALDH6A1(2),OTC(1),SLC7A3(3)	6	2	5	6	0.25	0.545454545455	3.35770600578857	0.20826387235056	1.28785650604611	0.118595199714847
BIOCARTA_BAD_PATHWAY	;IGF1R(1),PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_CCR5_PATHWAY	;CCR5(1),PTK2B(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_CREB_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_CTLA4_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_EGF_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_ERK5_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_HDAC_PATHWAY	;IGF1R(1),PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_HER2_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_IGF1_PATHWAY	;IGF1R(1),PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_IGF1R_PATHWAY	;IGF1R(1),PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_LAIR_PATHWAY	;ITGA4(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_LONGEVITY_PATHWAY	;IGF1R(1),PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_LYM_PATHWAY	;ITGA4(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_MONOCYTE_PATHWAY	;ITGA4(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	;PNMT(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_NFAT_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_NGF_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_PTEN_PATHWAY	;ILK(1),PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_TFF_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_TRKA_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_VEGF_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_GALACTOSE_METABOLISM	;GAA(1),PFKP(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_HEDGEHOG_SIGNALING_PATHWAY	;WNT2B(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	;TUBAL3(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	;UGT1A3(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_SELENOCOMPOUND_METABOLISM	;CTH(1),PAPSS1(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_STARCH_AND_SUCROSE_METABOLISM	;GAA(1),UGT1A3(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_STEROID_BIOSYNTHESIS	;CYP27B1(1),EBP(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_VIBRIO_CHOLERAE_INFECTION	;ATP6V1E2(1),ATP6V1H(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_AMINE_DERIVED_HORMONES	;PNMT(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_CDC20_PHOSPHO_APC_MEDIATED_DEGRADATION_OF_CYCLIN_A	;BUB1B(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_CELL_CELL_ADHESION_SYSTEMS	;CLDN23(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_CELL_JUNCTION_ORGANIZATION	;CLDN23(2),ILK(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	;RPTOR(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	;EIF3A(1),RPS16(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_GAB1_SIGNALOSOME	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	;PROC(1),PROZ(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_GLUCURONIDATION	;UGT1A3(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	;SCARB1(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_INACTIVATION_OF_APC_VIA_DIRECT_INHIBITION_OF_THE_APCOMPLEX	;BUB1B(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_LIPOPROTEIN_METABOLISM	;SCARB1(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_METABOLISM_OF_RNA	;EXOSC9(1),NUP155(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_MTORC1_MEDIATED_SIGNALLING	;MTOR(1),RPTOR(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_MTOR_SIGNALLING	;MTOR(1),RPTOR(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_MYOGENESSIS	;CDON(1),MYF5(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	;ARHGEF12(1),MCF2(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1	;RPTOR(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_REGULATION_OF_APC_ACTIVATORS_BETWEEN_G1_S_AND_EARLY_ANAPHASE	;BUB1B(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_RNA_POLYMERASE_I_PROMOTER_CLEARANCE	;HIST1H2AB(1),KAT2B(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_STEROID_HORMONES	;CYP27B1(1),STAR(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_TIE2_SIGNALING	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_TIGHT_JUNCTION_INTERACTIONS	;CLDN23(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_TRANSLATION_INITIATION_COMPLEX_FORMATION	;EIF3A(1),RPS16(1)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
SA_TRKA_RECEPTOR	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	;PIK3CA(2)	8	0	9	2	0	0.181818181818	NA	0.321637426900585	1.27501703878727	0.145392002545016
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	ADRA2C(4),AGTR1(1),CHRM5(1),F2R(1),GABRA6(1),GRM2(1),GRM7(1),MC2R(1),OPRL1(1);ADORA2B(1),ADRA1B(2),ADRA2C(1),AGTR1(1),C3AR1(1),CHRNA10(3),CHRNA2(2),DRD1(1),DRD4(2),GABRD(1),GABRR1(1),GLP1R(1),GRIK1(1),TAAR6(1)	1	7	0	11	0.875	1	NA	0.421052631578947	1.20473602456675	0.203967727755402
BIOCARTA_ATM_PATHWAY	NFKB1(1);MDM2(3),RBBP8(1)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
BIOCARTA_NKCELLS_PATHWAY	SYK(1);PIK3CA(2),PTK2B(1),PTPN6(1)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
BIOCARTA_PAR1_PATHWAY	F2R(1);ARHGEF12(1),PIK3CA(2),PTK2B(1)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	NDST2(1);EXT2(1),NDST2(3)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
KEGG_NUCLEOTIDE_EXCISION_REPAIR	RPA1(1);POLE2(1),RPA4(3)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
REACTOME_APOPTOSIS	DFFB(1);LMNB1(1),TRAF2(3)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
REACTOME_COMMON_PATHWAY	FGB(1);FGB(1),PF4V1(1),PROC(1),SERPINC1(1)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	CD274(1);MTOR(1),PIK3CA(2),PTPN6(1),YES1(1)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
REACTOME_FORMATION_OF_A_POOL_OF_FREE_40S_SUBUNITS	RPL35A(1);EIF3A(1),RPL7(2),RPS16(1)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	FGB(1);FGB(1),KLKB1(1),PF4V1(1),PROC(1),SERPINC1(1)	7	1	7	4	0.125	0.363636363636	3.73352155184632	0.266769865841073	1.16628781727637	0.203967727755584
