Row.names	PathwayMutatedGenes	BRCAXCancer_NumNonMuts	BRCAXCancer_NumMuts	BRCA12Cancer_NumNonMuts	BRCA12Cancer_NumMuts	BRCAXCancer_MutationRate	BRCA12Cancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	;NEFM(1),PRPH(1),TOMM40L(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_BASIGIN_INTERACTIONS	;ITGA3(1),L1CAM(1),SLC7A6(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	;CCNE1(1),CDC25A(1),POLA2(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_GLUCONEOGENESIS	;ENO1(1),GAPDHS(1),PFKFB1(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_HUMAN_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	;NFKB1(1),NFKB2(1),TLR3(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_OPIOID_SIGNALLING	;ADCY5(1),ITPR1(1),ITPR2(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_PLC_BETA_MEDIATED_EVENTS	;ADCY5(1),ITPR1(1),ITPR2(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_PLC_GAMMA1_SIGNALLING	;ADCY5(1),ITPR1(1),ITPR2(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_THE_ANTIVIRAL_CYTOKINE_IFN_ALPHA_BETA_CASCADE	;NFKB1(1),NFKB2(1),TLR3(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
ST_GA13_PATHWAY	;NFKB1(1),NFKB2(1),PLD3(1)	11	0	5	3	0	0.375	NA	0.0577915376676987	2.21324140120322	0.020301703439018
REACTOME_AXON_GUIDANCE	ARHGEF12(1),COL1A1(1),FES(1),ROBO1(1),ROBO2(1),SEMA4D(1),TREM2(1);CACNB3(1),COL1A2(1),ERBB2(1),PFN2(1),ROBO1(2),RRAS(1),SEMA5A(1),TLN1(1)	8	3	2	6	0.272727272727	0.75	7.02745098847317	0.0548940223862824	2.05713834775841	0.0253297131345255
KEGG_MRNA_SURVEILLANCE_PATHWAY	CLP1(1);CLP1(1),PABPC3(1),PABPC4L(2),PABPN1(1),UPF2(1)	10	1	4	4	0.0909090909091	0.5	8.70776924819552	0.0710354317165463	1.99935054390234	0.033455144080688
REACTOME_TOLL_LIKE_RECEPTOR_3_CASCADE	RIPK3(1);IRF3(1),NFKB1(1),NFKB2(1),TLR3(1)	10	1	4	4	0.0909090909091	0.5	8.70776924819552	0.0710354317165463	1.99935054390234	0.033455144080688
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	ADPGK(1),GALM(1),PFKP(1),PGK2(1);ADH4(1),ALDH3A2(1),ENO1(1),GAPDHS(1),PDHA2(1)	9	2	3	5	0.181818181818	0.625	6.6105066834864	0.0673969992855442	1.9772447378225	0.0419638354408195
REACTOME_INNATE_IMMUNITY_SIGNALING	RIPK3(1),TLR10(1);C1QB(1),C1R(1),IRF3(1),NFKB1(1),NFKB2(1),TLR3(1)	9	2	3	5	0.181818181818	0.625	6.6105066834864	0.0673969992855442	1.9772447378225	0.0419638354408195
REACTOME_FORMATION_OF_PLATELET_PLUG	ADRA2C(1),COL1A1(1),FGB(1),LAMP2(1),PIK3CA(2),PIK3R5(1),SERPINF2(1),TGFB2(1);ADRA2C(4),COL1A2(1),F2R(1),FGB(1),ITPR1(1),ITPR2(1),PRKCZ(1),SPARC(1),SYK(1),TLN1(1)	6	5	1	7	0.454545454545	0.875	7.4906640187356	0.0798999761848059	1.87584757178032	0.0424924563855878
Taube_EMT	CYBRD1(1),CYP27B1(1),IGFBP2(1),LEPREL1(2),PMP22(1),ST14(2);COL1A2(1),EPB41L4B(1),FBLN1(1),FGFR2(1),FST(1),HOOK1(1),NEFM(1),PPM1D(1),SEMA5A(1),SERPINB2(1),SMPDL3B(1),SYK(1),TMEM30B(1),TMEM40(1),TNFAIP6(1)	6	5	1	7	0.454545454545	0.875	7.4906640187356	0.0798999761848059	1.87584757178032	0.0424924563855878
BIOCARTA_CELLCYCLE_PATHWAY	;CCNE1(1),CDC25A(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
BIOCARTA_CLASSIC_PATHWAY	;C1QB(1),C1R(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
BIOCARTA_COMP_PATHWAY	;C1QB(1),C1R(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
BIOCARTA_EPONFKB_PATHWAY	;JAK2(1),NFKB1(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
BIOCARTA_IL2_PATHWAY	;IL2RA(1),SYK(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
BIOCARTA_RANKL_PATHWAY	;IFNAR1(1),NFKB1(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
BIOCARTA_RHO_PATHWAY	;MYL2(1),TLN1(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
BIOCARTA_TH1TH2_PATHWAY	;IL18R1(1),IL2RA(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	;COASY(1),VNN2(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
KEGG_PRION_DISEASES	;C1QB(1),NCAM2(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	;MVD(2)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
KEGG_THYROID_CANCER	;CCDC6(1),TFG(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	;CREB3L4(1),DYNC1LI1(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_CLASS_C3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	;GRM2(1),GRM7(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION	;C1QB(1),C1R(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_COMPLEMENT_CASCADE	;C1QB(1),C1R(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	;CCNE1(1),CDC25A(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_E2F_TRANSCRIPTIONAL_TARGETS_AT_G1_S	;CCNE1(1),CDC25A(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	;ITPR1(1),ITPR2(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	;FNBP1L(1),RIMS1(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	;C1QB(1),C1R(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	;ITPR1(1),ITPR2(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_FREE_FATTY_ACIDS	;ITPR1(1),ITPR2(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
ST_GA12_PATHWAY	;MYEF2(1),PLD3(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
ST_G_ALPHA_I_PATHWAY	;ITPR1(1),ITPR2(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
ST_P38_MAPK_PATHWAY	;MYEF2(1),NFKB1(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
ST_T_CELL_SIGNAL_TRANSDUCTION	;NFKB1(1),NFKB2(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	;ITPR1(1),ITPR2(1)	11	0	6	2	0	0.25	NA	0.16374269005848	1.7531484283325	0.0655480277000825
KEGG_CHOLINERGIC_SYNAPSE	ACHE(1),PIK3CA(2),PIK3R5(1),SLC5A7(1);ADCY5(1),CHRM5(1),CREB3L4(1),ITPR1(1),ITPR2(1),JAK2(1)	7	4	2	6	0.363636363636	0.75	4.77262127565397	0.114908311502739	1.6653024719949	0.0655538886757691
KEGG_GLUTAMATERGIC_SYNAPSE	GRIK1(1),PLA2G6(1),SLC1A3(1);ADCY5(1),GRM2(1),GRM7(1),ITPR1(1),ITPR2(1),PLA2G2D(1)	8	3	3	5	0.272727272727	0.625	4.07441713323573	0.143804080336588	1.53552121874728	0.0772009302908119
BIOCARTA_CARDIACEGF_PATHWAY	AGTR1(1);ADAM12(1),AGTR1(1),NFKB1(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	RIPK3(1);IL33(1),IRF3(1),NFKB1(1),POLR3GL(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
KEGG_PYRUVATE_METABOLISM	ACYP2(1);ACOT12(1),ALDH3A2(1),PDHA2(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	HIST1H2AB(1);C1QB(1),C1R(1),HIST3H3(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
REACTOME_GLUCOSE_METABOLISM	PFKP(1);ENO1(1),GAPDHS(1),PFKFB1(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
REACTOME_GLYCOLYSIS	PFKP(1);ENO1(1),GAPDHS(1),PFKFB1(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
REACTOME_MUSCLE_CONTRACTION	TNNI2(1);MYL1(1),MYL2(1),TLN1(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE_1	GLP1R(1);ADCY5(1),CACNB3(1),ITPR1(1),ITPR2(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
REACTOME_VIRAL_DSRNA_TLR3_TRIF_COMPLEX_ACTIVATES_RIP1	RIPK3(1);NFKB1(1),NFKB2(1),TLR3(1)	10	1	5	3	0.0909090909091	0.375	5.42516733919676	0.176986584107327	1.49968431021433	0.0964112558216516
KEGG_BASAL_CELL_CARCINOMA	WNT2B(2);APC2(1),DVL3(1),FZD1(1),FZD7(1)	9	2	4	4	0.181818181818	0.5	4.12333373655913	0.165634674922601	1.4731473687867	0.113876161964451
KEGG_GNRH_SIGNALING_PATHWAY	PLA2G6(1),PTK2B(1);ADCY5(1),CALML5(1),ITPR1(1),ITPR2(1),PLA2G2D(1)	9	2	4	4	0.181818181818	0.5	4.12333373655913	0.165634674922601	1.4731473687867	0.113876161964451
KEGG_HUNTINGTONS_DISEASE	NDUFA6(1),NDUFV1(1),UCP1(1);COX6A2(1),CREB3L4(1),ITPR1(1),NDUFA1(1),NDUFB8(1)	9	2	4	4	0.181818181818	0.5	4.12333373655913	0.165634674922601	1.4731473687867	0.113876161964451
KEGG_LONG_TERM_DEPRESSION	IGF1R(1),PLA2G6(1);ARAF(1),ITPR1(1),ITPR2(1),PLA2G2D(1)	9	2	4	4	0.181818181818	0.5	4.12333373655913	0.165634674922601	1.4731473687867	0.113876161964451
KEGG_MELANOGENESIS	WNT2B(2);ADCY5(1),CALML5(1),CREB3L4(1),DVL3(1),FZD1(1),FZD7(1)	9	2	4	4	0.181818181818	0.5	4.12333373655913	0.165634674922601	1.4731473687867	0.113876161964451
REACTOME_TOLL_RECEPTOR_CASCADES	RIPK3(1),TLR10(1);IRF3(1),NFKB1(1),NFKB2(1),TLR3(1)	9	2	4	4	0.181818181818	0.5	4.12333373655913	0.165634674922601	1.4731473687867	0.113876161964451
KEGG_INFLUENZA_A	OAS1(2),PIK3CA(2),PIK3R5(1),TNFRSF10A(1),TNFRSF10C(1);IFNAR1(1),IL33(1),IRF3(1),JAK2(1),NFKB1(1),PABPN1(1),TLR3(1),TMPRSS13(1)	6	5	2	6	0.454545454545	0.75	3.35770600578856	0.20826387235056	1.28785650604611	0.118595199714901
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	ADORA2B(1),ADRA1B(2),AGTR1(1),ARHGEF12(1),PLA2G6(1);ADCY5(1),AGTR1(1),ARAF(1),CALML5(1),ITPR1(1),ITPR2(1),KCNMA1(1),KCNU1(1),NPR2(1),PLA2G2D(1)	6	5	2	6	0.454545454545	0.75	3.35770600578856	0.20826387235056	1.28785650604611	0.118595199714901
REACTOME_PLATELET_ACTIVATION	COL1A1(1),FGB(1),LAMP2(1),PIK3CA(2),PIK3R5(1),SERPINF2(1),TGFB2(1);COL1A2(1),F2R(1),FGB(1),ITPR1(1),ITPR2(1),PRKCZ(1),SPARC(1),SYK(1),TLN1(1)	6	5	2	6	0.454545454545	0.75	3.35770600578856	0.20826387235056	1.28785650604611	0.118595199714901
KEGG_PATHWAYS_IN_CANCER	IGF1R(1),MDM2(3),MTOR(1),PIK3CA(2),PIK3R5(1),TGFB2(1),TGFBR1(3),TRAF2(3),WNT2B(2),ZBTB16(1);APC2(1),ARAF(1),CCDC6(1),CCNE1(1),DVL3(1),EGLN3(1),ERBB2(1),FGF13(1),FGFR2(1),FZD1(1),FZD7(1),ITGA3(1),NFKB1(1),NFKB2(1),PDGFRA(1),TFG(1),TGFBR2(1)	2	9	0	8	0.818181818182	1	NA	0.321637426900585	1.27501703878727	0.145392002545016
REACTOME_HEMOSTASIS	ADRA2C(1),COL1A1(1),FGB(1),ITGA4(2),KLKB1(1),LAMP2(1),PF4V1(1),PIK3CA(2),PIK3R5(1),PROC(1),PTPN6(1),SERPINC1(1),SERPINF2(1),TGFB2(1),YES1(1);ADRA2C(4),COL1A2(1),F2R(1),FGB(1),ITGA3(1),ITPR1(1),ITPR2(1),L1CAM(1),PRKCZ(1),SERPINB2(1),SIRPA(1),SLC7A6(1),SPARC(1),SYK(1),TLN1(1)	2	9	0	8	0.818181818182	1	NA	0.321637426900585	1.27501703878727	0.145392002545016
BIOCARTA_CBL_PATHWAY	;PDGFRA(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_CCR3_PATHWAY	;MYL2(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_CD40_PATHWAY	;NFKB1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_CDMAC_PATHWAY	;NFKB1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_CYTOKINE_PATHWAY	;IL5(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_DC_PATHWAY	;IL5(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_DNAFRAGMENT_PATHWAY	;DFFB(1),ENDOG(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_DREAM_PATHWAY	;KCNIP3(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_EPHA4_PATHWAY	;L1CAM(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_ETC_PATHWAY	;NDUFA1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_FREE_PATHWAY	;NFKB1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_GABA_PATHWAY	;GABRA6(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_GATA3_PATHWAY	;IL5(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_GLYCOLYSIS_PATHWAY	;ENO1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_IL10_PATHWAY	;IL10RA(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_IL22BP_PATHWAY	;IL10RA(1),JAK2(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_IL5_PATHWAY	;IL5(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_IL6_PATHWAY	;JAK2(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_MCM_PATHWAY	;CCNE1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_MITOCHONDRIA_PATHWAY	;DFFB(1),ENDOG(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_NFKB_PATHWAY	;NFKB1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_P27_PATHWAY	;CCNE1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_PITX2_PATHWAY	;FZD1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_PTC1_PATHWAY	;CDC25A(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_RELA_PATHWAY	;NFKB1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_RNA_PATHWAY	;NFKB1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_SKP2E2F_PATHWAY	;CCNE1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_SPRY_PATHWAY	;SPRY2(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_SRCRPTP_PATHWAY	;CDC25A(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_STEM_PATHWAY	;IL5(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_VIP_PATHWAY	;NFKB1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
BIOCARTA_WNT_PATHWAY	;FZD1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_CIRCADIAN_RHYTHM_MAMMAL	;RORB(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_FOLATE_BIOSYNTHESIS	;ALPL(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	;B3GNT1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	;HYAL3(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_HISTIDINE_METABOLISM	;ALDH3A2(1),CNDP1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_OTHER_GLYCAN_DEGRADATION	;GBA(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_PROTEIN_EXPORT	;SRP14(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_RNA_POLYMERASE	;POLR3GL(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_SULFUR_RELAY_SYSTEM	;MPST(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
KEGG_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES	;BDH2(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	;SUPT4H1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	;TLR3(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	;ADCY5(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	;DFFB(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_CAM_PATHWAY	;ADCY5(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_CLATHRIN_DERIVED_VESICLE_BUDDING	;TFRC(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_CYCLIN_A1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	;CDC25A(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_DEPOLARIZATION_OF_THE_PRESYNAPTIC_TERMINAL_TRIGGERS_THE_OPENING_OF_CALCIUM_CHANNELS	;CACNB3(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	;RIMS1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	;RPA1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_DUAL_INCISION_REACTION_IN_GG_NER	;RPA1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	;CDC25A(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_ETHANOL_OXIDATION	;ADH4(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	;FGFR2(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	;SUPT4H1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_FRS2MEDIATED_CASCADE	;FGFR2(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
REACTOME_FURTHER_PLATELET_RELEASATE	;TLN1(1)	11	0	7	1	0	0.125	NA	0.421052631578947	1.20473602456675	0.203967727748576
